tests;seed;receptionProbability;k; avgTime;stDevTime;maxTime; avgEnergy;stDevEnergy;maxEnergy
100000;1277484543387;1.0;10;731.43787;198.1795219488206;1024;11.4526;1.9360406090782711;19
100000;1277484543387;1.0;11;1461.51867;396.2736139732641;2048;12.57872;2.01858939896179;21
100000;1277484543387;1.0;12;2925.32719;794.9190368941343;4096;13.70285;2.1080730247088475;21
100000;1277484543387;1.0;13;5852.52092;1583.272180720157;8192;14.82971;2.1790436700304197;24
100000;1277484543387;1.0;14;11716.26294;3161.9216780943025;16384;15.96625;2.2593341801303297;25
100000;1277484543387;1.0;15;23417.72863;6341.915575206661;32768;17.0829;2.3408177182339442;27
100000;1277484543387;1.0;16;46845.9048;12711.710492186166;65536;18.21135;2.4064499116953124;28
100000;1277484543387;1.0;17;93482.98422;25406.384611926325;131072;19.32721;2.48203618343864;29
100000;1277484543387;1.0;18;187606.7102;50658.34036771859;262144;20.47758;2.544495498836594;32
100000;1277484543387;1.0;19;374460.26573;101166.88644117797;524283;21.58312;2.61803954622515;31
100000;1277484543387;1.0;20;750496.84323;202031.11822648364;1048576;22.72246;2.673471815524167;34
100000;1277484543387;1.0;21;1496337.04922;405807.31707423116;2097144;23.84194;2.751729826199877;35
100000;1277484543387;1.0;22;2996768.31975;812119.8136724915;4194267;24.96951;2.8073368803721848;36
100000;1277484543387;1.0;23;5992843.79894;1614664.8539228658;8388443;26.08633;2.8780787221856348;38
100000;1277484543387;1.0;24;1.199992701269E7;3247916.0014958614;16777160;27.22122;2.9264759885571405;39
100000;1277484543387;1.0;25;2.396774777072E7;6492497.436760497;33554260;28.33519;2.996307338024515;41
