tests;seed;receptionProbability;k; avgTime;stDevTime;maxTime; avgEnergy;stDevEnergy;maxEnergy
100000;1277484668139;0.5;10;2293.37961;1634.1273471141299;16777;24.50882;7.57157858095651;77
100000;1277484668139;0.5;11;4577.28417;3263.0118553259085;34142;26.98171;7.937678216954227;83
100000;1277484668139;0.5;12;9176.14039;6556.0180357073905;79882;29.49238;8.34940847818444;77
100000;1277484668139;0.5;13;18327.01574;13053.20746759096;146960;31.98133;8.741330644193038;78
100000;1277484668139;0.5;14;36561.20016;26121.41315302677;311664;34.35796;9.069558128068259;92
100000;1277484668139;0.5;15;73482.00609;52503.43974437563;630192;36.8805;9.419889582686029;88
100000;1277484668139;0.5;16;146323.11693;104406.05012121885;1207705;39.32666;9.73832497118434;98
100000;1277484668139;0.5;17;293741.37601;210521.40375662784;2623593;41.81211;10.049053057273667;95
100000;1277484668139;0.5;18;585671.02237;419073.38511571044;4043875;44.28557;10.377601831593507;108
100000;1277484668139;0.5;19;1172174.44414;836443.937472877;9239100;46.76032;10.71891288786484;104
100000;1277484668139;0.5;20;2343604.84029;1669225.421626356;18162669;49.23458;10.940134927120818;108
100000;1277484668139;0.5;21;4695874.20377;3357867.5561775723;39488515;51.69436;11.198895668341548;112
100000;1277484668139;0.5;22;9378172.76119;6712118.2820211;95093625;54.18078;11.505648116972923;120
100000;1277484668139;0.5;23;1.874601084333E7;1.3412265377107486E7;154356262;56.64463;11.803244560836145;117
100000;1277484668139;0.5;24;3.755139817745E7;2.6670018034000102E7;335398329;59.15062;12.093979229997515;134
100000;1277484668139;0.5;25;7.493667033099E7;5.345135850455025E7;566467645;61.64643;12.318628911331555;132
